Confirmed Cases,Zip Code,ZIP,PlaceName,BINGE,CSMOKING,LPA,OBESITY,SLEEP,ARTHRITIS,CASTHMA,BPHIGH,CANCER,HIGHCHOL,KIDNEY,COPD,CHD,DIABETES,MHLTH,PHLTH,TEETHLOST,STROKE,ACCESS2,CHECKUP,DENTAL,BPMED,CHOLSCREEN,MAMMOUSE,PAPTEST,COLON_SCREEN,COREM,COREW,totalPop,whiteAlonePop,blackAlonePop,nativeAlonePop,asianAlonePop,hawaiiAlonePop,otherAlonePop,twoOrMorePop,COVID_perc,white_perc,black_perc,native_perc,asian_perc,hawaii_perc,other_perc,two_plus_perc,majorityWhite,majorityBlack,raciallyDiverse
2601,2128,2128,"Boston, MA",23.008333333333336,20.275000000000006,28.83333333333333,27.58333333333333,36.55833333333333,17.575,10.591666666666667,23.61666666666667,4.633333333333333,29.791666666666657,2.8000000000000003,6.075,4.783333333333334,9.475,16.05,13.375000000000002,22.43333333333333,2.6750000000000003,17.783333333333328,69.24166666666666,58.55,66.13333333333334,73.29166666666667,81.36666666666667,84.41666666666667,56.99999999999999,25.125,25.55,40508.0,26243.0,1812.0,211.0,1449.0,19.0,8711.0,2063.0,0.06420953885652217,0.6478473387972746,0.04473190480892663,0.005208847635035055,0.03577071195813173,0.00046904315196998124,0.2150439419373951,0.050928211711266914,1,0,0
954,2126,2126,"Boston, MA",18.057188789230004,21.84778616855331,31.38649412718625,35.463870155096934,43.63978524094082,23.373009832539648,13.418725569258529,36.511605293357356,5.214682253784252,32.074859191587834,3.6815420068692313,7.036309896321737,5.575139409347355,14.462814932541516,16.16501163213329,14.680967305191727,23.96032864663094,4.335803485770389,13.157455246895926,79.02597446077817,56.44871361381851,75.86148816503078,80.07224164544907,85.98170978255682,86.99714024384144,61.376745268911094,19.08435759174733,22.87494806192998,25562.0,1490.0,21444.0,144.0,223.0,10.0,1327.0,924.0,0.03732102339410062,0.058289648697285035,0.8389014944057586,0.005633362021751037,0.008723887019795009,0.0003912056959549331,0.051912995853219616,0.03614740630623582,0,1,0
1373,2136,2136,"Boston, MA",19.961506324175154,16.62249796707627,25.20278829175785,28.57800749279088,37.41224210449751,22.449622174355785,11.606299142152016,30.759341488351367,6.243357586076161,32.402610980718784,3.0615783263844936,5.9321898688895045,5.113991988722747,11.15736064703787,13.37223601524907,12.088341773286619,15.135683627628364,3.2400983940445633,10.097479580701158,77.37452558010808,68.92101133705847,75.7487906704779,82.16914243654199,84.35752299777721,86.88978752397234,66.6915330707391,27.618902664492158,29.36967084211105,28488.0,10498.0,13234.0,117.0,506.0,23.0,2917.0,1193.0,0.04819573153608537,0.3685060376298793,0.4645464757090705,0.00410699241786015,0.01776186464476271,0.0008073574838528503,0.1023939904521202,0.04187728166245437,0,0,1
817,2122,2122,"Boston, MA",19.81945532964255,20.351388657348,27.799670485690545,26.89697688621885,39.68573339779668,20.303801540785198,11.811054571737314,28.12098157186719,5.290522689219781,31.251717207172344,3.038412807827903,6.378674644281408,5.039853822180426,10.867838366123863,15.580917397007632,13.253753805494943,21.08787781053887,3.223264478058333,12.337218183609377,74.27670159086921,59.80342592605113,72.87396316749881,77.00205321180576,82.42485940699845,83.06240385646656,59.244173397652204,23.692998859523424,24.650160507054878,23479.0,8766.0,6721.0,81.0,4058.0,13.0,2611.0,1229.0,0.034797052685378416,0.3733549129008902,0.2862558030580519,0.00344989139230802,0.1728352996294561,0.0005536862728395587,0.11120575833723753,0.05234464840921674,0,0,1
1820,2124,2124,"Boston, MA",18.117138760993747,20.930777607342293,29.916521940468968,32.62324803016802,41.53802899760933,22.336017641217516,13.056785330684185,33.3371748034712,5.239586032131541,31.873505481775354,3.4545665827621983,6.8144630484813655,5.29035879140856,13.22760756658833,16.177045390555556,14.21721136219798,21.455361654014627,3.902975886583039,12.679894276055949,77.663984502578,59.97339659818913,75.46210740856723,79.05787251274336,85.15956474491213,85.87009062319902,62.1416927910188,21.872264740132287,24.671689082117354,47783.0,10057.0,28141.0,225.0,2972.0,12.0,4068.0,2308.0,0.03808886005483122,0.21047234372057008,0.5889333026390139,0.004708787644141222,0.062197852792834275,0.0002511353410208652,0.08513488060607327,0.0483016972563464,0,1,0
1125,2121,2121,"Boston, MA",16.260955434419678,24.94621332047757,36.287782187441856,37.96019611226896,44.14318479892913,23.881358686952915,14.00422498633806,37.00455537942181,4.859079403240443,33.362266889719514,4.248975518710711,8.540563083057343,6.605534906711364,16.375151699409347,19.284624123029033,17.82666044928296,31.14444640593302,5.011871854963743,17.059468733252192,77.34336593233806,49.006920289384794,76.15516258150241,76.31613232852544,85.29595805035345,85.93393402981864,54.555049794947216,17.168246632891265,19.049872351610922,25978.0,1971.0,18324.0,193.0,207.0,10.0,3898.0,1375.0,0.043305874201247214,0.0758718916005851,0.7053660789899145,0.007429363307413965,0.007968280853029487,0.00038494110401108634,0.15005004234352146,0.05292940180152437,0,1,0
1291,2125,2125,"Boston, MA",20.3527857637388,20.00581070751252,27.43697425478485,27.81947703305201,39.35493589518965,18.989980325432004,12.154831719041645,26.877522240835823,4.724339903083192,29.787977713992106,3.0064385776614704,6.197500234861182,4.787341183338056,10.595433233306807,16.313745005058642,13.184794759628721,20.82472536969715,3.110178003978876,12.80903574034379,73.36363710666781,59.878440653726216,70.79944281370463,75.22659948030673,82.76723421505342,83.97440277480146,58.984016065787365,22.96421814345904,24.1799787974237,33295.0,11508.0,10085.0,152.0,3737.0,29.0,5657.0,2127.0,0.03877459077939631,0.3456374831055714,0.3028983330830455,0.004565250037543175,0.1122390749361766,0.0008710016518996848,0.16990539119987985,0.06388346598588376,0,0,1
954,2131,2131,"Boston, MA",20.9742776723723,15.73320543879002,23.95447787228396,26.718106066492187,35.39063662644824,20.935136305604,10.93782639678826,27.509845178921342,6.107450279964738,31.686042368008426,2.847530005449498,5.398586595155119,4.671395218872728,9.90837083313452,12.9986675259164,11.41001559214865,14.163806803987674,2.8267584183431738,9.825533380672711,75.30974152840531,70.14566718878831,74.02091053839932,81.55249390246053,84.18459388290108,86.96653948734905,65.83026550614346,28.77691250564425,29.34235539554843,29826.0,17125.0,7042.0,172.0,807.0,10.0,3333.0,1337.0,0.031985515992757986,0.5741634815261852,0.2361027291624757,0.005766780661168108,0.02705693019513176,0.0003352779454167505,0.11174813920740294,0.04482666130221954,1,0,1
567,2132,2132,"Boston, MA",20.335851768561557,13.081121158420064,20.780797021426412,22.110063009055125,31.19816053775544,24.008252261533734,10.007761779859733,28.00511144759605,8.327619260434654,34.62618632626068,2.9165637209749007,5.641620343456283,5.486022436408862,8.961350053474511,11.057378840864557,10.580313364280537,10.48073669991108,2.8807157221751543,6.490740799039919,76.26706417090466,77.33998626968975,77.3037415426824,84.45585501766625,83.26438777724319,86.36403760864454,70.76948825323781,33.22976241769423,33.300791377624314,25861.0,21643.0,1431.0,45.0,1639.0,8.0,571.0,524.0,0.021924906229457485,0.8368972584200147,0.05533428715053555,0.0017400719229728162,0.06337728626116547,0.0003093461196396117,0.02207957928927729,0.020262170836394568,1,0,0
906,2119,2119,"Boston, MA",18.063035228896545,22.088634776875054,32.498886959612875,34.27835046069543,41.86707133673157,21.742419920668315,13.291103192789915,33.13566802761836,4.760980453993692,31.50721578353416,3.8133563913090462,7.348104455295166,5.80868851360192,14.217411506654036,18.05207306513445,15.687675995614686,26.78538746012459,4.266530122626828,15.305894804032144,75.82671719967088,53.67407860435768,73.78351239063772,75.32407829422621,85.01785260343676,85.67202514029465,56.560245740269224,18.750152148650276,20.383878137338048,25346.0,3759.0,15008.0,237.0,355.0,15.0,4295.0,1677.0,0.03574528525211078,0.14830742523475104,0.5921249901365107,0.009350587863962756,0.014006154817328177,0.0005918093584786554,0.16945474631105498,0.06616428627791368,0,1,1
